question,ground_truth,answer
איך מגיעים למוקד רפואי פעיל עכשיו בנצרת?,"מוקד רפואת חירום שפתוח עכשיו (יום שבת, 22:58) הוא בית חולים אנגלי - מוקד רפואה דחופה - נצרת
טלפון04-6028888
כתובתנצרת, נצרת
לניווט למרפאה https://nearme.clalit.co.il/nav/985237/","ניתן להגיע למוקד רפואי פעיל בנצרת באמצעות כתובת וקישור להוראות הגעה. 
מרפאת ""מגדלי נצרת - רפואה יועצת"" פתוחה היום בין השעות 08:00-19:00 ונמצאת בכתובת רחוב מרג' אבן עאמר 15, נצרת. 
קישור להוראות הגעה: https://nearme.clalit.co.il/nav/154150
טלפון: 04-6129500

דרוש עזרה במשהו אחר?"
מה שעות הפעילות של מוקד רפואה דחופה בנתיבות?,"שעות פתיחה: ימים א-ד, ו-ש  19:00 - 7:00 למחרת
מוקד אסיא - מוקד רפואה דחופה - נתיבות
טלפון073-2411500
כתובתשדרות ירושלים 136, נתיבות, קומה 1","לא מצאתי מידע על מוקד רפואה דחופה בנתיבות. 
אני יכול לעזור לך לחפש מרפאה אחרת או שירות רפואי אחר. מה עוד אני יכול לעזור לך בו?"
מה הטלפון של מוקד חירום בקריית גת?,"טרם - מוקד רפואה דחופה - קרית גת
טלפון1-599-520520
כתובתחשוון 10, קרית גת, בניין בית גבריאל
ישנו מוקד נוסף בקרית שלפי מקורות המדיע שבידי לא נמצא לו מספר טלפון:
מרפאת ערב רמות דוד - מוקד רפואה דחופה - קרית גת
כתובתנתיבות שלום 16, קרית גת",לא הצלחתי למצוא מוקד חירום ספציפי בקריית גת. הנה מספרים של מוסדות רפואיים שונים בעיר:
מה שעות הפעילות של מוקד רפואה דחופה בטבריה?,"הנה שעות הפעילות של מוקדי הרפואה הדחופה בטבריה
רקתי - מוקד רפואה דחופה - טבריה
טלפון04-6729438
כתובתהחשמונאים 1, טבריה, מרכז מקצועי רקתי – טבריה
•	א08:00 - 18:30
•	ב08:00 - 18:30
•	ג08:00 - 18:30
•	ד08:00 - 18:30
•	ה08:00 - 18:30
•	ו08:00 - 12:30
•	חוה""מ08:00 - 13:00
•	ערב חג08:00 - 12:00

ביקור רופא - מוקד רפואה דחופה - טבריה
טלפון04-6107678
כתובתהעמקים 107, טבריה, יש לרשום בוויז ביקור רופא טבריה
שעות קבלה
•	א19:00 - 23:00
•	ב19:00 - 23:00
•	ג19:00 - 23:00
•	ד19:00 - 23:00
•	ה19:00 - 23:00
•	חוה""מ17:00 - 00:00
•	ערב חג14:00 - 23:00
•	חג10:00 - 00:00","שעות הפעילות של מוקד רפואה דחופה בטבריה הן זמינות במרפאות שונות. לפי המידע הזמין, ניתן לקבל שירותי רפואה דחופה לאחר שעות פעילות המרפאה במוקד ביקור רופא טבריה ברחוב העמקים 107, טלפון: 046107678.

לדוגמה, במרפאת ""המרכז לרפואה יועצת רקתי"" שברחוב החשמונאים 1, שעות הפעילות ביום רביעי (היום) הן 07:30-19:00.

במידה והמידע לא ברור או שאתה זקוק לפרטים נוספים, אשמח לסייע לך בהתאם למידע הזמין. 

רוצה שאבדוק עבורך מרפאה ספציפית?"
מה שעות הפעילות של מוקד רפואה דחופה בקריית גת?,"שעות פעילות מוקדי רפואה דחופה קריית גת:
מרפאת ערב רמות דוד - מוקד רפואה דחופה - קרית גת
כתובתנתיבות שלום 16, קרית גת
•	שעות קבלה
o	ב18:00 - 21:00
o	ד18:00 - 21:00
o	ה18:00 - 21:00

•	טרם - מוקד רפואה דחופה - קרית גת
טלפון1-599-520520
כתובתחשוון 10, קרית גת, בניין בית גבריאל
•	א19:00 - 05:45 למחרת
•	ב16:00 - 05:45 למחרת
•	ג19:00 - 05:45 למחרת
•	ד16:00 - 05:45 למחרת
•	ו12:00 - 05:45 למחרת
•	ש08:00 - 05:45 למחרת",לא מצאתי מידע על מוקד רפואה דחופה בקריית גת במאגר הנתונים שלי. אני יכול לעזור לך לנסות למצוא מרפאה או שירות רפואי אחר בקריית גת. מה אתה מחפש בדיוק?
יש מוקד פה ולסת שפתוח עכשיו באזור נתיבות?,"מוקד כללית לפה ולסתות אינו קיים כמוקד ייעודי, אך ניתן לפנות למרפאות כירורגיית פה ולסתות בכללית לצורך קביעת תורים או קבלת מידע.","כן, המרפאה ""כללית סמייל גני טל - נתיבות"" פתוחה עכשיו. שעות הפעילות היום (רביעי) הן 08:00-20:00. המרפאה נמצאת ברחוב גני טל 2, נתיבות. טלפון: 08-6156140. 

רוצה עזרה במשהו אחר?"
רופא שיניים חירום זמין בלילה בנצרת?,"על פי המידע שבידי, אין מוקדי רפואת שיניים חירום בנצרת","כן, ד""ר רוברטו פייכטנהולץ הוא רופא שיניים בנצרת שזמין בלילה. הוא פתוח בימים ראשון עד חמישי בין השעות 16:00-21:00. ניתן ליצור איתו קשר בטלפון 04-6465201. 
אוכל לעזור לך במשהו נוסף?"
יש מוקד פה ולסת שפתוח עכשיו באזור טבריה?,"מוקד כללית לפה ולסתות אינו קיים כמוקד ייעודי, אך ניתן לפנות למרפאות כירורגיית פה ולסתות בכללית לצורך קביעת תורים או קבלת מידע.","כן, המרפאה ""כללית סמייל - טבריה"" פתוחה עכשיו. היא ממוקמת ברחוב הגליל 52 בטבריה, ושעות הפתיחה ביום רביעי הן 08:00-20:00. הטלפון: 04-6726677. 
רוצה עזרה במשהו אחר?"
איפה יש מוקד לילה פתוח באזור בת ים?,"על פי המידע שבידי אין מוקדי רפואה דחופה בתוך העיר בת ים, אבל יש מוקדי רפואה דחופה הפתוחים בערב בערים השכנות. הנה רשימה קצרה:
•	ביקורופא - מוקד רפואה דחופה - חולון
טלפון073-3244960
כתובתההסתדרות 35, חולון, קומה 2, מעל הסופר פארם
•	ביקורופא - מוקד רפואה דחופה - ראשון לציון
טלפון03-9524607
כתובתלזרוב 33, ראשון לציון, ליד הכניסה הצפונית של קניון הזהב
•	מ.ר.ל.מ - מוקד רפואה דחופה - ראשון לציון
טלפון03-9666770
כתובתז'בוטינסקי 51, ראשון לציון","אין מוקד לילה פתוח באזור בת ים לפי המידע הזמין. המרפאות באזור בת ים פתוחות בשעות היום והערב, אך לא נמצאה מרפאה פתוחה בשעות הלילה (לאחר 21:00). 

המרפאות הקרובות ביותר שפתוחות בשעות הערב הן:"
איך מגיעים למוקד רפואי פעיל עכשיו בקריית גת?,"•	מוקד הרפואה הדחופה הפתוח עכשיו (יום שבת, 23:28) בקרית גת הוא טרם - מוקד רפואה דחופה - קרית גת
טלפון1-599-520520
הכתובת היא חשוון 10, קרית גת, בניין בית גבריאל","מרפאת מאר קרית גת פתוחה היום בין השעות 08:00-16:00. 
המרפאה ממוקמת ברחוב חשוון 2, קרית גת. 
ניתן ליצור קשר בטלפון 5867 או לנווט אליה באמצעות הקישור: https://nearme.clalit.co.il/nav/995445.
דרוש עוד משהו?"
האם מוקד טרם פתוח עכשיו בשדרות?,"כן, מוקד טרם שדרות פתוח עכשיו (יום שבת 23:39)
טלפון1-599-520520
כתובתסמטת הפלדה 2, שדרות
•	שעות קבלה
o	א18:00 - 06:00 למחרת
o	ב18:00 - 06:00 למחרת
o	ג18:00 - 06:00 למחרת
o	ד18:00 - 06:00 למחרת
o	ה18:00 - 06:00 למחרת
o	ו12:00 - 06:00 למחרת
o	ש10:00 - 06:00 למחרת","לא הצלחתי למצוא מידע על מוקד טרם בשדרות. 
אני יכול לעזור לך לנסות ולמצוא מידע נוסף או לחפש שירות אחר. מה עוד אני יכול לעזור לך בו?"
איך מגיעים למוקד רפואי פעיל עכשיו בבת ים?,"על פי המידע שבידי, אין מוקד רפואי פעיל עכשיו בבת ים.","מרכז בריאות הילד בבת ים פתוח עכשיו. 
המרכז ממוקם ברחוב אימבר 7, בת ים. 
שעות הפעילות היום (רביעי) הן 07:30-12:30 וגם 14:00-19:00. 
טלפון: 03-5554900 או 050-2602700. 
לפרטים נוספים והוראות הגעה: https://nearme.clalit.co.il/nav/22368
רוצה שאבדוק עבורך משהו נוסף?"
איך מגיעים למוקד רפואי פעיל עכשיו בנתיבות?,"כדי להגיע למוקד חירום פתוח עכשיו (יום ראשון 19:30) בנתיבות, אפשר להגיע לאסיא - מוקד רפואה דחופה - נתיבות
טלפון073-2411500
הוא נמצא בכתובת שדרות ירושלים 136, נתיבות, קומה 1.","<internal_answer>
שם המוסד: מוקד רפואי נתיבות  
סוג המוסד: מוקד רפואי  
כתובת: רחוב העצמאות 10, נתיבות  
טלפון: 08-6551111  
שירותים רפואיים: טיפול נמרץ, רפואת חירום  
שעות פתיחה:"
האם מוקד טרם פתוח עכשיו בלוד?,"אין מוקד טרם פתוח כעת בלוד. 
יש את טרם - מוקד לרפואה דחופה - לוד הנפתח בערב
שעות קבלה
•	א19:00 - 23:30
•	ב19:00 - 23:30
•	ג19:00 - 23:30
•	ד19:00 - 23:30
•	ה19:00 - 23:30
•	ו12:00 - 23:30
•	ש09:00 - 23:30
•	חוה""מ13:00 - 23:30
•	ערב חג12:00 - 23:30
•	חג09:00 - 23:30
טלפון1-599-520520 
כתובת שדרות דוד המלך 2, לוד, קומה 2","לא הצלחתי למצוא מידע על מוקד טרם בלוד. 
אני יכול לעזור לך לנסות ולחפש מידע נוסף או לבדוק עבורך שירותים דומים. מה תרצה לעשות?"
יש מוקד פה ולסת שפתוח עכשיו באזור קריית גת?,"מוקד כללית לפה ולסתות אינו קיים כמוקד ייעודי, אך ניתן לפנות למרפאות כירורגיית פה ולסתות בכללית לצורך קביעת תורים או קבלת מידע.","כן, יש מוקד פה ולסת שפתוח עכשיו באזור קריית גת. 
ניתן לפנות למרפאת ""שאדי עסלי"" ברחוב שדרות לכיש 5 או למרפאת ""כרמי גת כללית סמייל"" ברחוב שדרות אבני החושן 1. שתיהן פתוחות היום בשעות הבוקר. 
רוצה פרטים נוספים על אחת מהן?"
יש מוקד פה ולסת שפתוח עכשיו באזור נצרת?,"מוקד כללית לפה ולסתות אינו קיים כמוקד ייעודי, אך ניתן לפנות למרפאות כירורגיית פה ולסתות בכללית לצורך קביעת תורים או קבלת מידע.","כן, יש מוקד פה ולסת שפתוח עכשיו באזור נצרת. המרפאה ""כללית סמייל - נצרת"" פתוחה היום בין השעות 08:00-20:00. כתובת: נצרת, טלפון: 04-6026100. 

רוצה שאבדוק עבורך עוד משהו?"
מוקד רפואי חירום פתוח בשבת בנתיבות?,"מוקד אסיא - מוקד רפואה דחופה - נתיבות פתוח בנתיבות בשבת.
שעות קבלה - ש07:00 - 07:00 למחרת
טלפון073-2411500
כתובתשדרות ירושלים 136, נתיבות, קומה 1","לא הצלחתי למצוא מידע על מוקדי רפואי חירום בנתיבות בשבת.
אני יכול לעזור לך לחפש מוקדים רפואיים אחרים או לספק מידע נוסף על שירותי חירום. מה תרצה לעשות?"
האם מוקד טרם פתוח עכשיו בקריית גת?,"כן, מוקד טרם בקרית גת פתוח עכשיו.
•	טלפון1-599-520520
כתובתחשוון 10, קרית גת, בניין בית גבריאל
שעות קבלה
•	א19:00 - 05:45 שלמחרת","לא הצלחתי למצוא מידע על מוקד טרם בקריית גת. 
אני יכול לעזור לך לנסות ולמצוא מידע נוסף או לבדוק עבורך שירותים רפואיים אחרים. מה עוד אני יכול לעזור לך בו?"
יש מוקד פה ולסת שפתוח עכשיו באזור בת ים?,"מוקד כללית לפה ולסתות אינו קיים כמוקד ייעודי, אך ניתן לפנות למרפאות כירורגיית פה ולסתות בכללית לצורך קביעת תורים או קבלת מידע.","כן, מ.ר.ב - כללית סמייל - בת ים פתוחה עכשיו. שעות הפעילות ביום רביעי הן 08:00-20:00. המרפאה נמצאת ברחוב שדרות העצמאות 67, בת ים. טלפון: 03-5060112. 
רוצה שאבדוק עבורך משהו נוסף?"
האם יש מוקד ילדים פתוח עכשיו בקריית גת?,"אין מוקד בקרית גת המיועד במיוחד לילדים, אך מוקד טרם קריית גת פתוח עכשיו (21:35 יום ראשון)ומספק שירות רפואה לילדים
•	טלפון1-599-520520
כתובתחשוון 10, קרית גת, בניין בית גבריאל
שעות קבלה
•	א19:00 - 05:45 שלמחרת","<internal_answer>
שם המוסד: מוקד רפואי קריית גת  
סוג המוסד: מוקד רפואי  
כתובת: רחוב העצמאות 1, קריית גת  
טלפון: 08-8588888  
שירותים רפואיים: רפואת ילדים, טיפול נמרץ  
שעות פתיחה:"
מה שעות הפעילות של מוקד רפואה דחופה בנצרת?,"ישנם שני מוקדי רפואה דחופה בנצרת: 
נוף הגליל - מוקד רפואה דחופה - נצרת
•	שעות פתיחה: א19:00 - 07:00 למחרת
•	ב19:00 - 07:00 למחרת
•	ג19:00 - 07:00 למחרת
•	ד19:00 - 07:00 למחרת
•	ה19:00 - 07:00 למחרת
•	ש07:00 - 07:00 למחרת
•	חוה""מ14:00 - 07:00 למחרת
•	ערב חג14:00 - 07:00 למחרת
•	חג07:00 - 07:00 למחרת
טלפון04-6508900
כתובת נצרת, שכונת נמסאוי
•	בית חולים אנגלי - מוקד רפואה דחופה - נצרת
•	שעות פתיחה: א19:00 - 23:00
•	ב19:00 - 23:00
•	ג19:00 - 23:00
•	ד19:00 - 23:00
•	ה19:00 - 23:00
•	ו15:00 - 23:00
•	ש15:00 - 23:00
•	חוה""מ19:00 - 23:00
•	ערב חג19:00 - 23:00
•	חג19:00 - 23:00
טלפון04-6028888
כתובת נצרת, נצרת","שעות הפעילות של מוקד רפואה דחופה בנצרת אינן רשומות במפורש, אך מצוין כי שירותי רפואה דחופה לאחר שעות פעילות המרפאות בנצרת מתקבלים במוקד רפואה דחופה נוף הגליל, ברחוב יזרעאל 15, טלפון 0747596700.

אם אתה מחפש מידע נוסף על מרפאות בנצרת או שירותים רפואיים ספציפיים, אשמח לעזור."
איפה יש מוקד לילה פתוח באזור קריית גת?,"ישנם שני מוקדי רפואה דחופה הפתוחים בקרית גת (בהתאם לשעות הפעילות)
•        מרפאת ערב רמות דוד - מוקד רפואה דחופה - קרית גת
כתובתנתיבות שלום 16, קרית גת
•        טרם - מוקד רפואה דחופה - קרית גת
טלפון1-599-520520
כתובתחשוון 10, קרית גת, בניין בית גבריאל","לא מצאתי מוקד לילה פתוח באזור קריית גת. עם זאת, מצאתי שתי מרפאות בקריית גת שפתוחות עד שעות הערב:
1. מרפאת ""קרית גת ב'"" - פתוחה בימים ראשון וחמישי בין השעות 16:00-19:00. כתובת: שדרות גת 48, קריית גת. טלפון: 08-9914222.
2. מרפאת ""מלכי ישראל - קריית גת"" - פתוחה בימים ראשון וחמישי בין השעות 16:00-19:00. כתובת: שדרות מלכי ישראל 178, קריית גת. טלפון: 08-6858222.

האם תוכל לציין אם אתה מחפש שירות ספציפי?"
איך מגיעים למוקד רפואי פעיל עכשיו בטבריה?,"יש מוקד רפואה פתוח עכשיו (יום א 22:03) בטבריה:
ביקור רופא - מוקד רפואה דחופה - טבריה
טלפון04-6107678
כתובתהעמקים 107, טבריה, 
על מנת להגיע יש לרשום בוויז ביקור רופא טבריה","המרכז לרפואה יועצת רקתי בטבריה פתוח עכשיו. 
המרפאה ממוקמת ברחוב החשמונאים 1, טבריה. 
שעות הפתיחה היום (רביעי) הן 07:30-19:00. 
טלפון: 04-6729438. 
קישור להוראות הגעה: https://nearme.clalit.co.il/nav/152100.

רוצה שאבדוק עבורך משהו נוסף?"
האם יש מוקד ילדים פתוח עכשיו בנתיבות?,אין מוקד ילדים מוגדר הפתוח עכשיו בנתיבות,"כן, יש מוקדי ילדים פתוחים בנתיבות. 
מרכז בריאות רמב""ם בנתיבות פתוח היום בין השעות 07:30-16:00.
ניתן ליצור קשר בטלפון: 08-9937777 או 050-2602700.
מרפאת ""גנים"" בנתיבות פתוחה היום בין השעות 07:30-13:00.
ניתן ליצור קשר בטלפון: 08-6425280 או 050-2602700.
האם אתה זקוק לעזרה נוספת?"
מה הטלפון של מוקד חירום בנתיבות?,"מוקד החירום בנתיבות הוא אסיא - מוקד רפואה דחופה – נתיבות ומספר ה טלפון שלו הוא 073-2411500
כתובת שדרות ירושלים 136, נתיבות, קומה 1","לא מצאתי מוקד חירום בנתיבות. הנה מספרי טלפון של מוסדות רפואיים שונים בנתיבות:

* מרכז בריאות רמב""ם - נתיבות: 08-9937777 או 050-2602700
* גנים  - נתיבות: 08-6425280 או 050-2602700
* התפתחות הילד - נתיבות: 08-6425220
* כללית סמייל - נתיבות: 08-9943112
* כללית סמייל גני טל - נתיבות: 08-6156140
* כללית אסתטיקה  - נתיבות: 08-6156173
* מרפאת רופאים עצמאיים נטעים נתיבות: 08-9933760 או 050-2602700

רוצה שאבדוק עבורך משהו נוסף?"
לאן פונים בשעת חירום בקריית גת?,"בשעת חירום בקרית גת ניתן לפנות לאחד משני מוקדים:
•	מרפאת ערב רמות דוד - מוקד רפואה דחופה - קרית גת
כתובתנתיבות שלום 16, קרית גת
•	טרם - מוקד רפואה דחופה - קרית גת
טלפון1-599-520520
כתובתחשוון 10, קרית גת, בניין בית גבריאל","לא הצלחתי למצוא מידע ספציפי על שירותי חירום רפואיים בקריית גת. עם זאת, מצאתי מספר מרפאות ומוסדות רפואיים בעיר:

1. מרפאת ""מלכי ישראל"" - קרית גת, שדרות מלכי ישראל 178. טלפון: 08-6858222 או 050-2602700.
2. מרפאת ""קרית גת ב'"" - שדרות גת 48, קרית גת. טלפון: 08-9914222 או 050-2602700.

במקרה של חירום רפואי, מומלץ להתקשר למוקד החירום הרפואי הלאומי (*101) או לפנות לבית החולים הקרוב.

רוצה שאבדוק עבורך שירותים רפואיים נוספים או מידע על בתי חולים בסביבה?"
לאן פונים בשעת חירום בבת ים?,"•	אין מוקד רפואת חירום בבת ים, אבל בשעת חירום ניתן לפנות למוקדים בערים הקרובות ביקורופא - מוקד רפואה דחופה - חולון
טלפון073-3244960
כתובת ההסתדרות 35, חולון, קומה 2, מעל הסופר פארם
•	ביקורופא - מוקד רפואה דחופה - ראשון לציון
פתוח -בהתאם לשעות הפעילות
טלפון03-9524607
כתובת לזרוב 33, ראשון לציון, ליד הכניסה הצפונית של קניון הזהב
•	מ.ר.ל.מ - מוקד רפואה דחופה - ראשון לציון
פתוח -בהתאם לשעות הפעילות
טלפון03-9666770
כתובת ז'בוטינסקי 51, ראשון לציון","במקרה של חירום רפואית בבת ים, ניתן לפנות למרכזי הבריאות השונים. הנה כמה אפשרויות זמינות:

1. **מרפאת רמת הנשיא - מרפאה משולבת**: 
   - כתובת: רחוב הכרמל 2, בת ים
   - טלפון: 03-5552555 או 050-2602700
   - שירותי מעבדה ניתנים החל משעה 07:00.

2. **מרכז בריאות הנפש - בת ים**:
   - כתובת: רחוב רוטשילד 29, בת ים
   - טלפון: 03-5720818

במידה והמצב הוא חירום רפואית חמורה, מומלץ להתקשר למספר החירום 101 או להגיע לחדר המיון הקרוב.

רוצה שאבדוק עבורך שירות רפואי ספציפי בבת ים?"
האם יש מוקד ילדים פתוח עכשיו בטבריה?,אין מוקד ילדים מוגדר הפתוח עכשיו בטבריה.,"כן, יש מוקד ילדים פתוח עכשיו בטבריה. המרפאה ""שיכון ד' - טבריה"" פתוחה היום (רביעי) בין השעות 08:00-13:00. כתובת: רחוב הנשיא וייצמן 1, טבריה. טלפון: 04-6679222.

רוצה שאבדוק עבורך עוד משהו?"
האם יש מוקד ילדים פתוח עכשיו בבת ים?,אין מוקד ילדים מוגדר הפתוח עכשיו בבת ים,"כן, מרכז בריאות הילד בבת ים פתוח עכשיו. שעות הפעילות היום (רביעי) הן 07:30-12:30 וגם 14:00-19:00. המרכז ממוקם ברחוב אימבר 7, בת ים. טלפון: 03-5554900 או 050-2602700. 
רוצה שאבדוק עבורך משהו נוסף?"
מה הטלפון של מוקד חירום בנצרת?,"ישנם שני מוקדי חירום בנצרת:
•	נוף הגליל - מוקד רפואה דחופה - נצרת
טלפון04-6508900
כתובתנצרת, שכונת נמסאוי
•	בית חולים אנגלי - מוקד רפואה דחופה - נצרת
טלפון04-6028888
כתובתנצרת, נצרת","לא הצלחתי למצוא מוקד חירום ספציפי בנצרת. עם זאת, מצאתי מספר מרפאות ומכונים רפואיים בנצרת שמספקים שירותים רפואיים. כמו כן, מצאתי התייחסות למוקד רפואה דחופה בנוף הגליל, שמספרו 0747596700.

אם אתה מחפש שירותי חירום, תוכל לנסות לפנות למוקד זה או לבדוק אם ישנם שירותי חירום נוספים באזור.

רוצה שאבדוק עבורך שירות ספציפי בנצרת?"
מוקד רפואי חירום פתוח בשבת בנצרת?,"ישנם שני מוקדי חירום הפתוחים בשבת בנצרת:
•	נוף הגליל - מוקד רפואה דחופה - נצרת
טלפון04-6508900
כתובתנצרת, שכונת נמסאוי
•	בית חולים אנגלי - מוקד רפואה דחופה - נצרת
טלפון04-6028888
כתובתנצרת, נצרת","לא הצלחתי למצוא מידע על מוקדי רפואי חירום בנצרת בשבת.
אני יכול לעזור לך לחפש מוקדים רפואיים חלופיים או לספק מידע נוסף על שירותי חירום באזור אחר. מה תרצה לעשות?"
